dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
144,144650,1074393,2.0058,10000000,1.2346
2D_27628_bjtcai,27629,442898,0.3258,0.1456,0.1541
2D_54019_highK,54020,996414,0.6927,0.9324,0.387
333SP,3712816,11108633,26.0084,10000000,19.4572
3D_28984_Tetra,28985,599170,0.4474,5.3942,0.1949
3D_51448_3D,51449,1056610,0.7268,10000000,0.4395
3Dspectralwave,680944,17165766,18.3169,10000000,12.279
3Dspectralwave2,292009,7307376,9.0175,10000000,5.8989
3dtube,45331,1629474,1.7496,10000000,1.1088
598a,110972,741934,1.5473,1.2157,0.9287
