dataSet,rows_,columns_,nonzeros_,cusparse,cuSPARSE_gflops,rode,ours_gflops
144, 144649, 144649, 1074393, 1.196438, 919.544562, 0.659530, 1668.125961
2D_27628_bjtcai, 27628, 27628, 442898, 0.332771, 681.440497, 0.174451, 1299.869425
2D_54019_highK, 54019, 54019, 996414, 0.348422, 1464.211130, 0.276576, 1844.570672
333SP, 3712815, 3712815, 11108633, 19.760557, 575.653807, 19.760557, 575.653807
3D_28984_Tetra, 28984, 28984, 599170, 0.223994, 1369.570490, 0.201254, 1524.314761
3D_51448_3D, 51448, 51448, 1056610, 0.376147, 1438.225040, 0.284416, 1902.088155
3Dspectralwave, 680943, 680943, 17165766, 10.447213, 1649.157684, 9.795238, 1758.926194
3Dspectralwave2, 292008, 292008, 7307376, 4.579613, 1601.280579, 2.916826, 2514.118341
3dtube, 45330, 45330, 1629474, 1.016166, 1619.195847, 0.661667, 2486.706922
598a, 110971, 110971, 741934, 0.944973, 803.981252, 0.544458, 1395.407917
