dataSet,num_nodes,num_edges,advisor,tcgnn,gespmm
144,144650,1074393,0.3655,10000000,0.2442
2D_27628_bjtcai,27629,442898,0.0663,0.088,0.0387
2D_54019_highK,54020,996414,0.1516,0.5948,0.0893
333SP,3712816,11108633,6.6681,10000000,4.5032
3D_28984_Tetra,28985,599170,0.0934,3.4366,0.0501
3D_51448_3D,51449,1056610,0.1611,10000000,0.0978
3Dspectralwave,680944,17165766,4.0284,10000000,2.7678
3Dspectralwave2,292009,7307376,1.6855,10000000,1.1403
3dtube,45331,1629474,0.386,10000000,0.23
598a,110972,741934,0.2848,0.5367,0.1818
