dataSet,rows_,columns_,nonzeros_,cusparse,cuSPARSE_gflops,rode,ours_gflops
144, 144649, 144649, 1074393, 0.457578, 2404.353727, 0.466490, 2358.420058
2D_27628_bjtcai, 27628, 27628, 442898, 0.073907, 3068.222966, 0.157053, 1443.869652
2D_54019_highK, 54019, 54019, 996414, 0.145011, 3518.100486, 0.185709, 2747.117941
333SP, 3712815, 3712815, 11108633, 8.748963, 1300.181516, 8.748963, 1300.181516
CUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encounteredCUDA Error: an illegal memory access was encountered3D_28984_Tetra, 28984, 28984, 599170, 0.090362, 3394.971273, 0.141638, 2165.903060
3D_51448_3D, 51448, 51448, 1056610, 0.146550, 3691.455646, 0.176154, 3071.094314
3Dspectralwave, 680943, 680943, 17165766, 4.420928, 3897.168718, 3.725021, 4625.236115
3Dspectralwave2, 292008, 292008, 7307376, 1.872397, 3916.501422, 1.644448, 4459.395815
3dtube, 45330, 45330, 1629474, 0.384534, 4278.869166, 0.355734, 4625.283455
598a, 110971, 110971, 741934, 0.370960, 2048.038661, 0.315827, 2405.557245
